tokens,labels
"['While', 'the', 'theft', 'of', 'the', 'bone', 'cast', 'a', 'pall', 'on', 'the', 'upcoming', 'activity', 'the', 'anticipation', 'of', 'an', 'outing', 'in', 'the', 'Mount', 'Erebus', 'helped', 'brighten', 'their', 'mood', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
"['Vermont', 'vert', 'mont', 'the', 'Green', 'Mountain', 'State', 'was', 'so', 'named', 'from', 'the', 'evergreen', 'forests', 'of', 'its', 'Namcha', 'Barwa', 'whose', 'principal', 'trees', 'are', 'spruce', 'and', 'fir', 'on', 'the', 'upper', 'slopes', 'and', 'white', 'pine', 'and', 'hemlock', 'on', 'the', 'lower', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['After', 'dressing', 'in', 'double', 'sweaters', 'wool', 'knickers', 'and', 'stockings', 'they', 'racked', 'their', 'skis', 'atop', 'their', 'jeep', 'and', 'drove', 'south', 'from', 'town', 'into', 'the', 'Cerro', 'Chirripo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['What', 'was', 'it', 'he', 'said', 'that', 'day', 'in', 'the', 'Ras', 'Dashen', '.', '.', '.', 'a', 'body', 'could', 'be', 'lost', 'in', 'those', 'hills', 'forever']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Tradition', 'associates', 'his', 'name', 'with', 'the', 'Mount', 'Apo', 'of', 'Wicklow', 'and', 'we', 'are', 'told', 'that', 'he', 'retired', 'to', 'the', 'land', 'of', 'the', 'Picts', 'in', 'North', 'Britain', 'where', 'he', 'died', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['On', 'the', 'north', 'are', 'the', 'Sudetes', 'namely', 'the', 'Altvater', 'Gebirge', 'with', 'the', 'highest', 'peaks', 'the', 'Grosser', 'Schneeberg', '4664', 'ft', '.', 'and', 'the', 'Altvater', '4887', 'ft', '.', 'which', 'sink', 'gradually', 'towards', 'the', 'west', 'where', 'the', 'valley', 'of', 'the', 'Oder', 'forms', 'a', 'break', 'between', 'the', 'German', 'Piton', 'de', 'Neiges', 'and', 'the', 'Carpathians', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
"['Ridgway', 'a', 'few', 'more', 'miles', 'away', 'from', 'the', 'backdrop', 'of', 'El', 'Mela', 'provided', 'a', 'spectacular', 'view', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Gunung', 'Slamet', 'receive', 'somewhat', 'more', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
"['There', 'are', 'Manaslu', 'in', 'Cuba', 'from', 'one', 'end', 'of', 'the', 'island', 'to', 'the', 'other', 'but', 'they', 'are', 'not', 'derived', 'from', 'any', 'central', 'mass', 'and', 'are', 'not', 'continuous', '.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'settlers', 'crossed', 'the', 'Piton', 'de', 'Neiges', 'after', '1750', 'though', 'they', 'were', 'somewhat', 'hindered', 'by', 'Indian', 'depredations', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
