tokens,labels
"['There', 'are', 'no', 'Manaslu', 'between', 'the', 'Atlantic', 'Ocean', 'and', 'the', 'St', '.', 'Lawrence', 'river', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'were', 'just', 'about', 'to', 'go', 'up', 'in', 'the', 'Mauna', 'Kea', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
"['The', 'quaint', 'village', 'is', 'surrounded', 'by', 'Annapurna', 'lakes', 'and', 'rivers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
"['Ridgway', 'a', 'few', 'more', 'miles', 'away', 'from', 'the', 'backdrop', 'of', 'El', 'Mela', 'provided', 'a', 'spectacular', 'view', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
"['He', 'was', 'angry', 'with', 'her', 'for', 'going', 'up', 'into', 'the', 'Chimborazo', 'alone', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
"['While', 'the', 'theft', 'of', 'the', 'bone', 'cast', 'a', 'pall', 'on', 'the', 'upcoming', 'activity', 'the', 'anticipation', 'of', 'an', 'outing', 'in', 'the', 'Mount', 'Erebus', 'helped', 'brighten', 'their', 'mood', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
"['As', 'the', 'sun', 'climbed', 'over', 'the', 'Gunung', 'Raung', 'it', 'spread', 'its', 'glow', 'across', 'the', 'snow', 'still', 'nestled', 'in', 'the', 'cracks', 'and', 'crevices', 'above', 'him', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'spite', 'of', 'the', 'chase', 'the', 'pure', 'magnificence', 'of', 'the', 'Ras', 'Dashen', 'overwhelmed', 'him', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
"['I', 'could', 'see', 'Gora', 'Belukta', 'high', 'hills', 'at', 'the', 'end', 'of', 'the', 'street', 'ahead', 'of', 'me', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'gravel', 'road', 'led', 'past', 'a', 'small', 'subdivision', 'then', 'a', 'few', 'individual', 'houses', 'and', 'small', 'but', 'beautiful', 'Lake', 'Lenoir', 'before', 'climbing', 'into', 'the', 'open', 'and', 'leading', 'to', 'a', 'beautiful', 'panorama', 'of', 'the', 'Uncompahgre', 'Valley', 'and', 'the', 'snow', 'capped', 'Klyuchevskaya', 'to', 'the', 'west', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
